,Unnamed: 0.1,Unnamed: 0,src_image,annotation,foggy_image
25,189,189,bremen_000017_000019_leftImg8bit.png,bremen_000017_000019_leftImg8bit_foggy_beta_0.02.txt,bremen_000017_000019_leftImg8bit_foggy_beta_0.02.png
26,191,191,monchengladbach_000000_031360_leftImg8bit.png,monchengladbach_000000_031360_leftImg8bit_foggy_beta_0.02.txt,monchengladbach_000000_031360_leftImg8bit_foggy_beta_0.02.png
27,192,192,stuttgart_000138_000019_leftImg8bit.png,stuttgart_000138_000019_leftImg8bit_foggy_beta_0.02.txt,stuttgart_000138_000019_leftImg8bit_foggy_beta_0.02.png
28,205,205,zurich_000094_000019_leftImg8bit.png,zurich_000094_000019_leftImg8bit_foggy_beta_0.02.txt,zurich_000094_000019_leftImg8bit_foggy_beta_0.02.png
29,210,210,strasbourg_000001_061685_leftImg8bit.png,strasbourg_000001_061685_leftImg8bit_foggy_beta_0.02.txt,strasbourg_000001_061685_leftImg8bit_foggy_beta_0.02.png
30,227,227,jena_000072_000019_leftImg8bit.png,jena_000072_000019_leftImg8bit_foggy_beta_0.02.txt,jena_000072_000019_leftImg8bit_foggy_beta_0.02.png
31,231,231,zurich_000115_000019_leftImg8bit.png,zurich_000115_000019_leftImg8bit_foggy_beta_0.02.txt,zurich_000115_000019_leftImg8bit_foggy_beta_0.02.png
32,232,232,weimar_000100_000019_leftImg8bit.png,weimar_000100_000019_leftImg8bit_foggy_beta_0.02.txt,weimar_000100_000019_leftImg8bit_foggy_beta_0.02.png
33,236,236,cologne_000061_000019_leftImg8bit.png,cologne_000061_000019_leftImg8bit_foggy_beta_0.02.txt,cologne_000061_000019_leftImg8bit_foggy_beta_0.02.png
34,244,244,bremen_000186_000019_leftImg8bit.png,bremen_000186_000019_leftImg8bit_foggy_beta_0.02.txt,bremen_000186_000019_leftImg8bit_foggy_beta_0.02.png
35,249,249,bochum_000000_001828_leftImg8bit.png,bochum_000000_001828_leftImg8bit_foggy_beta_0.02.txt,bochum_000000_001828_leftImg8bit_foggy_beta_0.02.png
36,250,250,stuttgart_000020_000019_leftImg8bit.png,stuttgart_000020_000019_leftImg8bit_foggy_beta_0.02.txt,stuttgart_000020_000019_leftImg8bit_foggy_beta_0.02.png
37,251,251,dusseldorf_000141_000019_leftImg8bit.png,dusseldorf_000141_000019_leftImg8bit_foggy_beta_0.02.txt,dusseldorf_000141_000019_leftImg8bit_foggy_beta_0.02.png
38,285,285,strasbourg_000000_025907_leftImg8bit.png,strasbourg_000000_025907_leftImg8bit_foggy_beta_0.02.txt,strasbourg_000000_025907_leftImg8bit_foggy_beta_0.02.png
39,293,293,bremen_000195_000019_leftImg8bit.png,bremen_000195_000019_leftImg8bit_foggy_beta_0.02.txt,bremen_000195_000019_leftImg8bit_foggy_beta_0.02.png
40,302,302,hamburg_000000_059720_leftImg8bit.png,hamburg_000000_059720_leftImg8bit_foggy_beta_0.02.txt,hamburg_000000_059720_leftImg8bit_foggy_beta_0.02.png
41,308,308,hanover_000000_011471_leftImg8bit.png,hanover_000000_011471_leftImg8bit_foggy_beta_0.02.txt,hanover_000000_011471_leftImg8bit_foggy_beta_0.02.png
42,309,309,aachen_000023_000019_leftImg8bit.png,aachen_000023_000019_leftImg8bit_foggy_beta_0.02.txt,aachen_000023_000019_leftImg8bit_foggy_beta_0.02.png
43,312,312,hamburg_000000_082187_leftImg8bit.png,hamburg_000000_082187_leftImg8bit_foggy_beta_0.02.txt,hamburg_000000_082187_leftImg8bit_foggy_beta_0.02.png
44,313,313,monchengladbach_000000_036139_leftImg8bit.png,monchengladbach_000000_036139_leftImg8bit_foggy_beta_0.02.txt,monchengladbach_000000_036139_leftImg8bit_foggy_beta_0.02.png
45,317,317,strasbourg_000001_063385_leftImg8bit.png,strasbourg_000001_063385_leftImg8bit_foggy_beta_0.02.txt,strasbourg_000001_063385_leftImg8bit_foggy_beta_0.02.png
46,318,318,tubingen_000133_000019_leftImg8bit.png,tubingen_000133_000019_leftImg8bit_foggy_beta_0.02.txt,tubingen_000133_000019_leftImg8bit_foggy_beta_0.02.png
47,320,320,ulm_000027_000019_leftImg8bit.png,ulm_000027_000019_leftImg8bit_foggy_beta_0.02.txt,ulm_000027_000019_leftImg8bit_foggy_beta_0.02.png
48,329,329,jena_000054_000019_leftImg8bit.png,jena_000054_000019_leftImg8bit_foggy_beta_0.02.txt,jena_000054_000019_leftImg8bit_foggy_beta_0.02.png
49,332,332,weimar_000126_000019_leftImg8bit.png,weimar_000126_000019_leftImg8bit_foggy_beta_0.02.txt,weimar_000126_000019_leftImg8bit_foggy_beta_0.02.png
