,Unnamed: 0.1,Unnamed: 0,src_image,annotation,foggy_image
225,1298,1298,monchengladbach_000000_021663_leftImg8bit.png,monchengladbach_000000_021663_leftImg8bit_foggy_beta_0.02.txt,monchengladbach_000000_021663_leftImg8bit_foggy_beta_0.02.png
226,1302,1302,zurich_000037_000019_leftImg8bit.png,zurich_000037_000019_leftImg8bit_foggy_beta_0.02.txt,zurich_000037_000019_leftImg8bit_foggy_beta_0.02.png
227,1304,1304,bochum_000000_016260_leftImg8bit.png,bochum_000000_016260_leftImg8bit_foggy_beta_0.02.txt,bochum_000000_016260_leftImg8bit_foggy_beta_0.02.png
228,1306,1306,strasbourg_000001_031976_leftImg8bit.png,strasbourg_000001_031976_leftImg8bit_foggy_beta_0.02.txt,strasbourg_000001_031976_leftImg8bit_foggy_beta_0.02.png
229,1314,1314,strasbourg_000001_010162_leftImg8bit.png,strasbourg_000001_010162_leftImg8bit_foggy_beta_0.02.txt,strasbourg_000001_010162_leftImg8bit_foggy_beta_0.02.png
230,1316,1316,stuttgart_000102_000019_leftImg8bit.png,stuttgart_000102_000019_leftImg8bit_foggy_beta_0.02.txt,stuttgart_000102_000019_leftImg8bit_foggy_beta_0.02.png
231,1320,1320,strasbourg_000000_014584_leftImg8bit.png,strasbourg_000000_014584_leftImg8bit_foggy_beta_0.02.txt,strasbourg_000000_014584_leftImg8bit_foggy_beta_0.02.png
232,1332,1332,bremen_000275_000019_leftImg8bit.png,bremen_000275_000019_leftImg8bit_foggy_beta_0.02.txt,bremen_000275_000019_leftImg8bit_foggy_beta_0.02.png
233,1334,1334,monchengladbach_000000_015685_leftImg8bit.png,monchengladbach_000000_015685_leftImg8bit_foggy_beta_0.02.txt,monchengladbach_000000_015685_leftImg8bit_foggy_beta_0.02.png
234,1335,1335,krefeld_000000_020033_leftImg8bit.png,krefeld_000000_020033_leftImg8bit_foggy_beta_0.02.txt,krefeld_000000_020033_leftImg8bit_foggy_beta_0.02.png
235,1345,1345,hamburg_000000_106102_leftImg8bit.png,hamburg_000000_106102_leftImg8bit_foggy_beta_0.02.txt,hamburg_000000_106102_leftImg8bit_foggy_beta_0.02.png
236,1349,1349,strasbourg_000001_055273_leftImg8bit.png,strasbourg_000001_055273_leftImg8bit_foggy_beta_0.02.txt,strasbourg_000001_055273_leftImg8bit_foggy_beta_0.02.png
237,1350,1350,dusseldorf_000090_000019_leftImg8bit.png,dusseldorf_000090_000019_leftImg8bit_foggy_beta_0.02.txt,dusseldorf_000090_000019_leftImg8bit_foggy_beta_0.02.png
238,1358,1358,dusseldorf_000070_000019_leftImg8bit.png,dusseldorf_000070_000019_leftImg8bit_foggy_beta_0.02.txt,dusseldorf_000070_000019_leftImg8bit_foggy_beta_0.02.png
239,1373,1373,dusseldorf_000111_000019_leftImg8bit.png,dusseldorf_000111_000019_leftImg8bit_foggy_beta_0.02.txt,dusseldorf_000111_000019_leftImg8bit_foggy_beta_0.02.png
240,1375,1375,weimar_000139_000019_leftImg8bit.png,weimar_000139_000019_leftImg8bit_foggy_beta_0.02.txt,weimar_000139_000019_leftImg8bit_foggy_beta_0.02.png
241,1385,1385,strasbourg_000000_028240_leftImg8bit.png,strasbourg_000000_028240_leftImg8bit_foggy_beta_0.02.txt,strasbourg_000000_028240_leftImg8bit_foggy_beta_0.02.png
242,1386,1386,bremen_000266_000019_leftImg8bit.png,bremen_000266_000019_leftImg8bit_foggy_beta_0.02.txt,bremen_000266_000019_leftImg8bit_foggy_beta_0.02.png
243,1396,1396,hamburg_000000_040021_leftImg8bit.png,hamburg_000000_040021_leftImg8bit_foggy_beta_0.02.txt,hamburg_000000_040021_leftImg8bit_foggy_beta_0.02.png
244,1401,1401,weimar_000004_000019_leftImg8bit.png,weimar_000004_000019_leftImg8bit_foggy_beta_0.02.txt,weimar_000004_000019_leftImg8bit_foggy_beta_0.02.png
245,1403,1403,zurich_000011_000019_leftImg8bit.png,zurich_000011_000019_leftImg8bit_foggy_beta_0.02.txt,zurich_000011_000019_leftImg8bit_foggy_beta_0.02.png
246,1409,1409,aachen_000080_000019_leftImg8bit.png,aachen_000080_000019_leftImg8bit_foggy_beta_0.02.txt,aachen_000080_000019_leftImg8bit_foggy_beta_0.02.png
247,1412,1412,strasbourg_000001_020904_leftImg8bit.png,strasbourg_000001_020904_leftImg8bit_foggy_beta_0.02.txt,strasbourg_000001_020904_leftImg8bit_foggy_beta_0.02.png
248,1413,1413,jena_000017_000019_leftImg8bit.png,jena_000017_000019_leftImg8bit_foggy_beta_0.02.txt,jena_000017_000019_leftImg8bit_foggy_beta_0.02.png
249,1417,1417,aachen_000168_000019_leftImg8bit.png,aachen_000168_000019_leftImg8bit_foggy_beta_0.02.txt,aachen_000168_000019_leftImg8bit_foggy_beta_0.02.png
